,Tweets,Dates
202,"🇺🇸US Twitter Moment・World news／2020-01-16(Japan Date)
⚡️ 🇯🇵「Japan confirms its first case of the SARS-like coronavi… https://t.co/NqueULM5KG",2020-01-16
203,"""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/1zzcyzzMXQ",2020-01-16
204,"China's new SARS-like virus has spread to Japan, but we still know very little about it https://t.co/slczgocDvD",2020-01-16
205,"@otoneko28 あれは確信犯だと思われても仕方ないでしょう。
SARS、MERSの件もあるし。",2020-01-16
206,新型肺炎のウイルスは、SARSと似たタイプって専門家のコメント出たみたいだけど？,2020-01-16
207,SARSの騒ぎを思い出す。,2020-01-16
208,【武漢肺炎】德國病毒專家：武漢肺炎與SARS是同一種病毒，但形態不一。 https://t.co/8r8UU3TZy2,2020-01-16
209,新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 | NHKニュース   https://t.co/vpF0LSXtUs,2020-01-16
210,Outbreak of SARS-Like Virus Widens With First Case in Japan  https://t.co/nmZNFrOdzQ,2020-01-16
211,"""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/8jbldk1G2o",2020-01-16
212,@yaotomen_v 前回のSARSの時、後で中国人に聞いたら、報道されたのとは全く違う規模で死者が出ていたみたいだった。中国は怖い,2020-01-16
213,@tsugaru_k わたしは元気です😊日本で、原因不明の肺炎の患者が見つかったのです。このあとCNYで外国人がたくさん日本に来たり動いたりするから、SARSの時のようにならなければいいけど、と心配なのです。,2020-01-16
214,"Ooo love a new deadly, sars like virus. Sars was brilliant, I remember some guy on Facebook losing his shit at me b… https://t.co/acFuKjGRoh",2020-01-16
215,🚨👉 Heads Up!..Twitter Moment Japan confirms its first case of the SARS-like coronavirus https://t.co/Z9R87CZvHi,2020-01-16
216,SARSの悪夢再来はマジでやめてくれ……,2020-01-16
217,#Genekam #Germany has developed new Technology for development and production of human therapeutic #antibodies agai… https://t.co/Rwt6biJEOb,2020-01-16
218,新型肺炎、SARSのときにすごく騒がれて何もなかったから危機感がわかない。この心理状態が1番危ないと思うけど…。コロナウイルスねぇ。 https://t.co/cwE5eXgxHz,2020-01-16
219,@tinssoldier Is sars in Chinese gutter oil?,2020-01-16
220,The country has downplayed concerns it could be a reappearance of the SARS epidemic https://t.co/t21ncmJiKm,2020-01-16
221,"@NHKWORLD_News Similar to #SARS, #WuhanPneumonia is likely the result of eating wild animals animals https://t.co/iPgeeFmtdA",2020-01-16
222,"@chiakiasami SARSの場合、感染から発症まで10日間位の潜伏期間だったみたいだけど、コロナウイルスはどうなんでしょう？
多くの中国人観光客が春節に日本に入国する際に空港で測定するのは体温のみ… https://t.co/0mmTsW8vvR",2020-01-16
223,@mandlenkosi_SA Also please ensure that he has all the necessary documents as per the following page: https://t.co/GnFPPB0AmM,2020-01-16
224,SARSは2類感染症 ▶ 診断後直ちに届出 ▶ 状況に応じて入院,2020-01-16
225,"China's new SARS-like virus has spread to Japan, but we still know very little about it - CNN https://t.co/ocCcaeCMze",2020-01-16
226,@Kemisugarpunk 😂😂😂😂😂😂 don’t let me call SARS for you ooh,2020-01-16
227,"China is really out there spreading chemical warfare
""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/TJSLuLUiAm",2020-01-16
228,"野味からの新型コロナウイルスというのは、初期からの大勢の予想通りだった。

しかも、武漢市の初期対応が少しまずかった。
そこで、SARSのトラウマが発動して、中国社会や、中国衛生当局や、さらに上の対応で、発表の内容も表現の調整も、慎重になったのではないだろうか？",2020-01-16
229,China SARS-like coronavirus spreads to Japan as epidemic fears grow https://t.co/HBnVe2XYH6,2020-01-16
230,"China’s new SARS-like virus has spread to Thailand, but we still know very little about it — CNN https://t.co/BSrFWd05CG",2020-01-16
231,Japan confirms its first case of the SARS-like coronavirus  https://t.co/fCqtzwznW6,2020-01-16
232,"Yessir! I’ll cope with the cold, Na human being dey Canada as far as SARS no dey 😒 https://t.co/GqI48FEYY8",2020-01-16
233,"""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/VYwdYV4Ha1",2020-01-16
234,China SARS-like coronavirus spreads to Japan as epidemic fears grow https://t.co/N837Xn08KV @JeffyJFR,2020-01-16
235,武漢の肺炎、ドイツ専門家がSARSの一種と指摘、WHOは拡散警告―米華字メディア https://t.co/HeZiuwQG38,2020-01-16
236,Ever wondered why more and more airports are using Thermal Imaging cameras at security. The new outbreak of SARs li… https://t.co/eUKsKUN4tX,2020-01-16
237,China SARS-like coronavirus spreads to Japan as epidemic fears grow https://t.co/HEQjIi87XQ,2020-01-16
238,"Fr Chris Townsend: The Church is essentially not tax exempted, but tax condoned. SARS, facing the growing pressure… https://t.co/s0ww0VSqND",2020-01-16
239,The World Health Organization said Sunday that a mysterious virus that killed one person and infected 40 others in… https://t.co/da1wzScBLO,2020-01-16
240,"Genekam #Germany developed new Technology for real human antibodies against the pandemic viruses like #SARS, #MERS… https://t.co/EWdI7eVXnN",2020-01-16
241,"CHINA, THAILAND, now JAPAN--&gt; New CORONAVIRUS
IS SPREADING AS CONFIRMED IN JAPAN.
https://t.co/YAUQIkmGTP",2020-01-16
242,"Now Oga and him boys don get quatter.

Boys fake alert don cause big problem for sars office😂😂😂 https://t.co/bG6wHig0OL",2020-01-16
243,Japan confirms its first case of the SARS-like coronavirus  https://t.co/x28RSrksDI,2020-01-16
244,Guys who's working at Sars? Need to ask some few questions hle.. Connect a lady toe. https://t.co/YUo0LQFbGj,2020-01-16
245,"当アカの中の人は、H7N9など鳥インフルエンザもずっと追いかけているので、実は、中国の呼吸器系の人獣共通感染症への対応への評価は高い。

しかし、SARSで隠蔽していた国内･国際社会のトラウマが大きいので、国際的なコミュニケーションと情報公開が薄く感じたのがちょっと残念。",2020-01-16
246,"幸いSARSやMERSと比べて重症度は低いという、死者は悪性腫瘍等基礎疾患あり。全く別だが豚からの新型インフルで最初は大騒動になったけど普通の重症度だった、私も罹ったし今年も流行している。

新型肺炎、中国ピリピリ　春節で30億人… https://t.co/fR8xQo9RYE",2020-01-16
247,"China's new SARS-like coronavirus has spread to Japan, but we still know very little about it - CNN
https://t.co/2KMgxizgT2",2020-01-16
248,Japan confirms its first case of the SARS-like coronavirus  https://t.co/ujqcbCanrw,2020-01-16
249,"Giappone, segnalato il primo caso di virus tipo Sars dalla Cina https://t.co/TMEucJuMQV",2020-01-16
250,WARNING: SARS VIRUS OUTBREAK IS HAPPENING RIGHT NOW https://t.co/9Cgb1ptHz0 via @YouTube,2020-01-16
251,Well Done to the former TaxiDriver On the other side #SARS they busy appointing matriculants and matric less Indian… https://t.co/8VbPgc2L4J,2020-01-16
252,@Crypto_Bitlord There's always a silver lining. Luckily most people in Australia have had to buy and wear an N2 fac… https://t.co/nGANu3GXbC,2020-01-16
253,"SARS隠蔽のトラウマは大きく深いんだけど、そこには触れられたくないのだろう。

中国の感染症への対応を、どこ基準で考えるかで、評価が大きく変わる。",2020-01-16
254,@K_Churchill19 突然諗起之前嗰個SARS源頭嘅截圖⋯,2020-01-16
255,"@3_cups SARSと遺伝子の形が似てるんですね⭐️
SARSみたいだと大変ですからね💦",2020-01-16
256,*SARS catch 4 yahoo boys dem transfer 1million to the SARS Oga. Alert come but the money no enter 😂😂😂*.. Weather man say so,2020-01-16
257,@leemanoid SARSって久しぶりに聞いたな･･･,2020-01-16
258,⚡️ “Japan confirms its first case of the SARS-like coronavirus” by @QuickTake https://t.co/DBdcYuW8q1,2020-01-16
259,@erefitei Them finesse SARS! Yepaaaa,2020-01-16
260,"""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/DiALSzak6y",2020-01-16
261,新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 https://t.co/q5WP11alkF,2020-01-16
262,"「ミステリーSARSのような、日本へのウイルス拡散

「1人の女性が夫からウイルスに感染した可能性があります。」」

Mystery SARS-Like Virus Spreads To Japan | Zero Hedge https://t.co/jcWjXOUdcF",2020-01-16
263,"NATIONAL NEWS: Beware of ‘Letter of Demand’ scam, warns Sars:  #ScamAlert @sarstax https://t.co/uAk7C9B5K2",2020-01-16
264,"NATIONAL NEWS: Beware of ‘Letter of Demand’ scam, warns Sars:  #ScamAlert @sarstax https://t.co/doe6G2o8QJ",2020-01-16
265,New coronavirus appears to be similar to SARS https://t.co/VELGAyDp1L,2020-01-16
266,@erefitei 😂😂😂😂 them don play sars,2020-01-16
267,Japan confirms its first case of the SARS-like coronavirus  https://t.co/BI5ox2AKM7,2020-01-16
268,SARS Warns South Africans To Watch Out For These New Scams https://t.co/FWCakdfL2i,2020-01-16
269,China believes new virus behind mystery pneumonia outbreak: China believes a mysterious pneumonia outbreak that str… https://t.co/ymrCZhyikj,2020-01-16
270,@etman09 かつてSARS の感染拡大の原因にSuper Spreaderが話題になりましたね。,2020-01-16
271,Where is tega and retired sars when u need them?   They need to do the needful 😃🤣,2020-01-16
272,SARSの一種？ https://t.co/CL9sc7SpCT,2020-01-16
273,@gri0303 数年前のSARSと一緒で日本人はかかりにくいとかだといいけどね。キムチとヤクルトかな。,2020-01-16
274,ヨーロッパ疾病対策センターもＳＡＲＳのウイルスと似ているという見解を示し、イギリスの研究者はＳＡＲＳのもととなったコウモリが持つウイルスに遺伝子配列の89％が一致しているとしています。,2020-01-16
275,"Speaking with @RobynBresnahan @OttawaMorning about the new #Coronavirus linked to cases of pneumonia in Wuhan, Chin… https://t.co/jiGO7b6old",2020-01-16
276,@smith796000 SARSほど症状が悪くなるのでしょうか？解熱剤で熱が下がるみたいですし。どの程度のものか詳しく知りたいですね,2020-01-16
277,新型コロナウイルス 遺伝子の型が「ＳＡＲＳ」と似ている点が多い    https://t.co/YGPWQcLXnF,2020-01-16
278,"NATIONAL: Beware of ‘Letter of Demand’ scam, warns Sars 

According to Sars, other scam or phishing, examples inclu… https://t.co/gXcD9dF7sf",2020-01-16
279,"@amaBhungane The list of Respondents is not surprising. 

We all know who the omitted 12th respondent is. We also k… https://t.co/wG9Lob2ZZv",2020-01-16
280,@sarstax We went to sars johannesburg and alberton they gave him this paper. And at ackermans they say he must have… https://t.co/cxMKU4SreV,2020-01-16
281,@SteveCypha U fit no reach jail if na sars come,2020-01-16
282,Ah! A new strain of a SARS virus has been detected. My family go back to China and Vietnam soon. Excellent. Can’t w… https://t.co/TZQyzNqhHR,2020-01-16
283,nCOV spreading again.  First SARS then MERS and now the virus fr Wuhan.  Keeping an eye on the news to see  how the… https://t.co/oAS8nbpHwg,2020-01-16
284,⚡️ “Japan confirms its first case of the SARS-like coronavirus” by @QuickTake https://t.co/CjkTtfaMQI,2020-01-16
285,"新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似
 https://t.co/rSGRKlyH8V",2020-01-16
286,Japan confirms its first case of the SARS-like coronavirus  https://t.co/GdtW3RC9br,2020-01-16
287,SARS Commissioner Kiewiet we are watching with hawks eyes. ..u are trying to balance the figures.Tom Moyane was fir… https://t.co/e98pdINsJc,2020-01-16
288,Mystery virus spreads from China to Japan as epidemic fears grow... https://t.co/mG0TPmWscU,2020-01-16
289,Mystery virus spreads from China to Japan as epidemic fears grow... https://t.co/B1XfUVNxD3,2020-01-16
290,"○麻婆豆腐（ネギ沢山）
○キャベツと大根とほうれん草　　
　のサラダ
○煮ひじき

我が家は寒い時、
湯豆腐ではなくて麻婆豆腐率高めになります。
暑い時も美味しいですけどね。

新コロナウィルス、、、
SARSみたいな騒ぎにならな… https://t.co/5ONCAGplpO",2020-01-16
291,"Giappone, segnalato il primo caso di virus tipo Sars dalla Cina https://t.co/JURu8cYtex https://t.co/ruzV26NOgw",2020-01-16
292,Mystery virus spreads from China to Japan as epidemic fears grow... https://t.co/DcfcZERXKH,2020-01-16
293,"“Hala sars ganda nung lippie mo anong klase yan?”
“Bb co” 

Kala ko kakanta siya amp hahahahahahahahahaha yun pala talaga yung brand",2020-01-16
294,#SARS #Japan This is very bad news..... https://t.co/wu0pUGbHA0,2020-01-16
295,"狂牛病が流行った時、「今さらボケても怖くね〜」と見せつけるように牛肉をほおばっていた老人らも、SARSが流行った時は震え上がっていた。

その時、自分はなぜか中国へ槍を習いに行ってて、イナカに持ち込んだらさすがにヤバいので、帰国し… https://t.co/tsuNV1bYYT",2020-01-16
296,Privatisation of SAA by WMC thieves. .....Even if u can sell the fleet Kiewiet  SARS Commissioner u cannot collect… https://t.co/xL5A19gnOz,2020-01-16
297,@maruken551 SARSと似てるらしいので、多分普通の健康的な人なら大丈夫な気がしてる。←脳天気な私。,2020-01-16
298,@krismoerwanto @sudjiwotedjo SARS again???  😲,2020-01-16
299,"""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/jISFyy4y8T",2020-01-16
300,⚡️ “Japan confirms its first case of the SARS-like coronavirus” by @QuickTake https://t.co/2JNERbjd7C,2020-01-16
301,"@PoliceNG SARS impunity, harassment and improper conduct is our major problem now. Citizens don't feel safe walking… https://t.co/uEJAqnLipn",2020-01-16
302,"!Flash Aqua! 
Après un séjour en quarantaine ou ces Sars et Dorades ont reçu tous les soins nécessaires, quelques j… https://t.co/RnYRq5KEKc",2020-01-16
303,@thedakoalice And sars chairman too?,2020-01-16
304,"#SARS #コロナウイルス ＃拡散希望 #WHO

WHO「中国の肺炎で人感染排除できない」！〇〇により世界拡散を警告 https://t.co/kic7ov81wq @YouTubeさんから",2020-01-16
305,"@hyakutanaoki China's new SARS-like virus has spread to Thailand, and we still know very little about it",2020-01-16
306,"@PoliceNG Congratulations on your achievements so far, sir please look into this Sars officers so called ig boys th… https://t.co/7qboqogQZv",2020-01-16
307,Till sars and ndlea comes to pack all of you https://t.co/b84fLKxYcH,2020-01-16
308,"新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似
https://t.co/rPyqDAKJ7M",2020-01-16
309,Group Educates The Nigerian Police Force on Bitcoin and Emerging Technologies https://t.co/I3gQ7sIfnU #NPF #SARS… https://t.co/0pyd0cDQ2N,2020-01-16
310,Sars why naw😂😂😂 https://t.co/WsVaolA2bd,2020-01-16
311,포뇨!! https://t.co/8SHCTtJrQe https://t.co/KBP8CQzKBr,2020-01-16
312,"ちなみに医師だった事から、ローカルニュースとかで叩かれまくってたし、立ち寄った場所を消毒するニュース映像が流れてて、ひたすら
「感染しないから、大丈夫です」
とニュースは伝えてた。
#SARS
#パンデミック
#コロナウイルス",2020-01-16
313,@erigganewmoney Sars catch 4 boys when de do streets !!! Dem transfer 1 million give Sars oga !!! Alert come but mo… https://t.co/8kLbx2WvyV,2020-01-16
314,Damn. Can someone tell Lasisi(sinzu) to phone tiger in sars please. Gonna need him to lock you people up.,2020-01-16
315,"uff, se viene harto trabajo al INSABI: Japan has confirmed the first case of a new SARS-like virus in a traveler wh… https://t.co/ndd9kARw4g",2020-01-16
316,でもSARSとMERSよりは今のところ低いね、感染が抑えられて死亡者もこれ以上増えないことを願うよ,2020-01-16
317,@ekene_one I go call SARS wey dey beat for you.,2020-01-16
318,SARSがパンデミックしていた時期、台湾からの観光客が小豆島に行った。その客の一人がキャリア感染していて帰国後発症して入院した事から、この辺りはちょっとパニック。そして風評被害。連日ローカルニュースで流れてた。あの頃は、強迫性障害でヤバかったから、怖かったな。,2020-01-16
319,新型コロナウイルス 遺伝子の型「SARS」と類似 https://t.co/4imeBWHhN2 #NewsDigest,2020-01-16
320,@erigganewmoney Sars think say dem wise for street but the boiz give them introduction.... For street dem dey run s… https://t.co/KJQ1dX9iYz,2020-01-16
321,@ozm Well. So Sars is heading to a state near you. This is just a second reason to wear a face mask everywhere.,2020-01-16
322,"@Kyan_Yuu SARSみたいになるのかな
怖いよね😭",2020-01-16
323,新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 | NHKニュース   https://t.co/DFvcJEQzL3,2020-01-16
324,"Perruzzi, davido and golden boy ent, 1 na sars, 1 na boys and 1 na oga, do the reasoning 😂😂😂 https://t.co/JL641AcjIr",2020-01-16
325,"@erigganewmoney Perruzzi, davido and golden boy ent, 1 na sars, 1 na boys and 1 na oga, do the reasoning 😂😂😂",2020-01-16
326,→　やっぱり新種だった。SARSなどから、ブタなどの動物のなかで他のウイルスなどと遺伝子交換などで、遺伝子が変化して新種へと生まれ変わった。今のところ病原性強くないし感染力弱そうだから、あんまり騒ぐ意味ない。,2020-01-16
327,@TANNOYYORK モノは一緒ですね。SARSの頃とは人の動きの速さが違いますからねー、一旦ヤバいことになったら逃げ場がなさそう。,2020-01-16
328,専門家は現時点ではＳＡＲＳより感染力や病原性は低いとみられるものの、今後、ヒトからヒトへ感染しやすいよう遺伝子が変化しないか監視する必要,2020-01-16
329,新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 | NHKニュース   https://t.co/u3uK0W0e1o　中国内陸部の湖北省武漢で検出され、国内でも確認された新型コロナウイルスについて、遺伝子の型が2003年に中国… https://t.co/XO9kFq9RZ0,2020-01-16
330,"德國柏林病毒研究專家德羅斯滕（Christian Drosten）表示，這是一種SARS病毒，類似2002年爆發的病毒，只是形態不一，主要的區別在於病毒藉由附著人體細胞的蛋白質。
https://t.co/2q1KnBJmj4",2020-01-16
331,@leeyuan54387518 @gowKE4HReZ7ZBc5 中國豬瘟傳人了！上推特瘋言瘋語，再有鼠疫，Sars交差感染，就死光了！沒死的人有抗體，才算是正常人，懂的民主，會尊重言論自由,2020-01-16
332,"新型コロナウィルスは2003年のSARSに似ていると専門家。
遺伝子変容を見守る必要がある。",2020-01-16
333,"8月にマジックアクセスの誕生日特典目当てで、また香港ディズニー行こうか悩んでるんだけど、デモは終息していないのは仕方ないとして、今流行してる武漢肺炎が収まってるか不安…。
SARSの時は終息に時間かかってるし、う〜ん🤔",2020-01-16
334,New China virus that killed one person spreads to Japan as US issues travel alert https://t.co/chaA4OTNRw #NewsSuite https://t.co/VVMpSLTPR4,2020-01-16
335,@260two .... SARS ti  Wole,2020-01-16
336,SARSが流行した時は、子供心にこの世は終わるんだなと感じてた。,2020-01-16
337,"新型肺炎昔流行したSARSの進化型なんだ....
もしかしたら一気に増えるかも知れないなぁ。
来月辺りから中国人が日本にいっぱい旅行くるだろうし怖いなぁ",2020-01-16
338,"Arturo lo dijo, si es SARS, no hay nadie que se salve.",2020-01-16
339,@nanod_alpaca 今、NHKで始まったのだ。SARSに型が似ているらしくて、ウイルスの変異が起きて、感染率が高くなったりしたら、大変なのだ。,2020-01-16
340,@Yong_chi_05 사랑해요 용치님😭🧡🧡 https://t.co/cpMQTN8cZI,2020-01-16
341,@mandlenkosi_SA He can register as a taxpayer at a SARS branch or mobile unit. Please refer to this page for requir… https://t.co/J2aHsVxKGY,2020-01-16
342,"#ニュースウオッチ9 #新型コロナウイルス

SARSやMERSみたいなことになる可能性もあるからね",2020-01-16
343,"@escalatorover @SCMPNews Back in 2003, our health officials in HK did not tell us the whole story until very late.… https://t.co/v6Uv10IDGE",2020-01-16
344,"OK, I find this second export troubling.
 
https://t.co/UOGayhw4SB

- did not visit market
- returned on the 6th
-… https://t.co/ysE8qyoJpr",2020-01-16
345,"＃新型コロナウイルス

めっちゃ迷惑。
中国ってSARSといいウイルス撒き散らすのほんと好きよね。
自国の衛生管理もう少しちゃんとしてほしい。",2020-01-16
346,@sarebe_sars 짠 https://t.co/LIluxnrA7J,2020-01-16
347,"SARSコロナウイルス
以前、騒いだのいつでしたっけね…",2020-01-16
348,"@MBuhari A lot of kids from our fallen heroes are the armed robbers and kidnappers of today,simply because we treat… https://t.co/qf0m5OHyzu",2020-01-16
349,"even God loves dreadlocks that was why he gave it to Samson 
 Unfortunately Delilah was working for SARS https://t.co/bDbHQWt8ID",2020-01-16
350,@1234Looper @SCMPNews Ha ha this is SARS all over again. The documented perceived economy was bad but the fundament… https://t.co/rrBf3xJljg,2020-01-16
351,"@angeline761027 剛剛看到就是SARS😱
去中國工作的真的要特別小心",2020-01-16
352,新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 | NHKニュース   https://t.co/2r23TScr2V,2020-01-16
353,テレビでコロナウイルスが出たって騒いでたので調べた。SARSとかMERSとかあるけど、英単語を考えれば日本語での意味をわざわざ覚えなくとも漢字での表記が分かるので良い。っていうか日本語名単体なんて長くて覚えらんねぇ(´･ω･`),2020-01-16
354,そういえば昔あったSARSとやらはどうなったんだろうか。自然消滅？,2020-01-16
355,hellooooow nmn sars sa apat na mimiyuuuh na kasama mo😄 https://t.co/UJWuuRS0bF,2020-01-16
356,"Virologists around the world are now studying its genome sequence shared by Chinese researchers, but many questions… https://t.co/HQys4K8uoN",2020-01-16
357,新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 | NHKニュース https://t.co/9UriNnhf4w,2020-01-16
358,"@hay_whye This is where we need to involve  the FBI and SARS so they can solve it cos, Ayam tired of thinking  about it.",2020-01-16
359,Cool Da Les gives SARS the cold shoulder over tax bill https://t.co/CO29rpp1E4,2020-01-16
360,"SARSみたいな感じなのか
しかももう国内で発見されてるとか",2020-01-16
361,"China’s new SARS-like coronavirus has spread to Japan, but we still know very little about it – NEWPAPER24… https://t.co/7h3yH3nJU7",2020-01-16
362,@sarstax well good day hope this texts finds you well. My friend needs a tax number. In order to be hired at Ackerm… https://t.co/P7Gc5eBAsA,2020-01-16
363,@leelongbean SARS IT'S THE SAME RED JUMPER FROM HIS 1ST STREAM OMFG https://t.co/mHKyMBvUZz,2020-01-16
364,https://t.co/m8xBBb9WwY,2020-01-16
365,SARSのとき高値でまとめ買いしたN95マスクを処分したのが確か一昨年頃。帰省時の新幹線で着用して息苦しさに堪えられなくなったのも今ではいい思い出、と日記に書いとくから変なの来ないでー,2020-01-16
366,Geographical structure of bat SARS-related coronaviruses. https://t.co/vfeTj2bX32,2020-01-16
367,"ウォークインで来院した発熱の男性。
問診票に「中国渡航歴あり」
この記事、思い出して数秒フリーズしてたら「今、流行りの湖北省ではないですよ🤭」て。
SARS（重症急性呼吸器症候群）の時もそうでしたが、前線は戦々恐々ですね💦 https://t.co/cGDeB518lE",2020-01-16
368,How to check if a SARS email or SMS is a scam https://t.co/QmgTvmop5x via @businesstechSA,2020-01-16
369,"コロナウィルス？
σ(￣∇￣;)

早くも新型ウィルスに感染した日本人が出たとか

SARSの時も中国やったな～何でインフルエンザ新型は中国で生まれるん？
疑問やσ(￣∇￣;)

生物兵器の実験場か中国は
σ(￣∇￣;)",2020-01-16
370,"SARSと似た型のコロナウイルスとの研究結果も有ります…
パニックになる必要は無いですが、政府の「リスク低い」の安易な発表は、駄目だと思われます…

#新型肺炎
#新型コロナウイルス
#コロナウイルス
◎新型肺炎の国内流行「リスク… https://t.co/Yge7guY67m",2020-01-16
371,@Ishipyonn おぉ、よくぞご無事で。当時SARSのこと、現地ではどれくらいの扱いだったの？,2020-01-16
372,"Çin'de ortaya çıkan SARS benzeri yeni virüs Japonya'ya ulaştı 
https://t.co/0iAZdXdiDc",2020-01-16
373,@OyehniyiCarter Make e meet sars for beats.,2020-01-16
374,SARSに似てるわりに感染力は弱そうなんだな新型。,2020-01-16
375,新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 | NHKニュース   https://t.co/XRaqcld51d,2020-01-16
376,@AyappiAyamat そう言えばワイSARSの時、中国におった🐷,2020-01-16
377,@doctordeath @gonzotrucker That’s how you get SARS.,2020-01-16
378,"Y'all heard about this new virus similar as ebola named ""sars"" currently out of control and spreading in Asia? 
No! Now u know",2020-01-16
379,"@LadyZaa Fairly certain SARS has a ""charge or don't charge"" wheel they spin when orders land on their desks",2020-01-16
380,"oks lang,,, d nman msakit sars 😔👍 https://t.co/tcBVYPypP2",2020-01-16
381,China's new SARS-like virus has spread to Japan https://t.co/ptRKWs8s7G,2020-01-16
382,"@ZitaLee11q @yotakeoldtales @languagediarya1 可能係比SARS傳染力低（好似當年係1傳2.x人），同埋暫時好似剩係傳到一次，所以叫有限度傳染掛
不過之前世衛都無用“有限度”呢個字眼，唔知邊度走出嚟 （帶番頭盔，無睇呢兩日點寫）",2020-01-16
383,"中国・新型コロナウイルスの感染、ヒトからヒトへの感染も「可能性は排除できない」

国立国際医療研究センターの忽那医長は、コロナウイルスが原因のSARSなどの感染は近距離で長時間一緒にいた場合に限定されるとコメント。

https://t.co/YR0u01MBAg",2020-01-16
384,A new virus from the same family as the deadly SARS pathogen could have been spread between family members in the C… https://t.co/FGz8Gkx0as,2020-01-16
385,"なんか昔SARSってやつあったよなぁ
今回のやつはあれよりは弱いのかね",2020-01-16
386,"@AP @mariyamaguchi First there were pig flu, the SARs, and now this.    This does count for the unreported such as the kids in Malaysia.",2020-01-16
387,德專家認爲武漢新病毒是一種SARS病毒 https://t.co/kzsz3ToBnl,2020-01-16
388,"SARSもコロナウイルスの一種だということを今の今まで知らなかったし調べてなかったなって…
昨日の私「新型コロナウイルス？また中国で？前に流行ったSARSの新型じゃなければ大丈夫じゃね？」
↓
今日の私「…これは新型…？」←new!",2020-01-16
389,@okonkwo_01 @agromella @Ade_layide @Chimnuru @OgbeniDipo @ChallengerNG @FitnessCentNG You conveniently ignored the… https://t.co/ileTr2fVHm,2020-01-16
390,"China's new SARS-like virus has spread to Japan, but we still know very little about it #SmartNews  https://t.co/bRu1IK0qqD",2020-01-16
391,MERSやSARSは飛沫感染主体なので上気道のTMPRSS2を阻害することは有効なのだろう。FIPVはどうだろうか。ネコのTMPRSS2はどこに発現しているのだろう？,2020-01-16
392,SARS関連を流し読みしてたらFIPにカモスタットが有効？まじなの？セリンプロテアーゼのTMPRSS2が細胞内侵入に関係していてこれを阻害すると。しかしTMPRSS2はヒトの体内では気道系の細胞に多く発現していて、ウイルスの呼吸器… https://t.co/aIObE9sJt1,2020-01-16
393,SARS騒動で、急にハクビシンを見ることが多くなったような気がしてるのは私だけか？？来週から春節休暇… https://t.co/rSjuH29V7j,2020-01-16
394,"https://t.co/VTNfnBgQUP
 A short video skit titled REFORM SARS https://t.co/VTNfnBgQUP",2020-01-16
395,Fact: There is a disease called SARS...Full name: Severe Acute Respiratory Syndrome. Probably one of the most deadliest. Interesting name.,2020-01-16
396,@susan_boww まずこの実話を取り上げることを思いついた編集部に感心しましたしそれを小学6年生に分かりやすく描いたのもすごいです(ちなみに漫画で描かれてありました) 今の本国はネット規制厳しくなってますし下手するとSARS以上に犠牲者出そうですね…,2020-01-16
397,"新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 https://t.co/LdT0v9YVQu
中国内陸部の湖北省武漢で検出され、国内でも確認された新型コロナウイルスについて、遺伝子の型が2003年に中国やアジア各地で広がった新… https://t.co/YoVLHRw7Fa",2020-01-16
398,@Shiz_Briz @agromella @Ade_layide @Chimnuru @OgbeniDipo @ChallengerNG @FitnessCentNG You can’t stand one on one wit… https://t.co/zUpEmL5jBZ,2020-01-16
399,18歳ぐらいの子にSARS知ってますかとか言われると、わしの方が知っとるじゃろJK……,2020-01-16
400,@Ciara87C @PMc276 This was outlawed in Singapore in 2002 when SARS invaded.,2020-01-16
401,Un coronavirus din China a trecut graniţele acestei ţări. Organizaţia Mondială a Sănătăţii a avertizat că noul coro… https://t.co/W4c9ORb7gB,2020-01-16
402,@WBYeats1865 Be CARE ful. China export SARS verus  ..world wide.  Country,2020-01-16
403,@MonicaParis386 @BurtChenlong @iingwen @AmbroseDumile 豬瘟、SARS沒搞定。。。。你們是瞎子嗎？,2020-01-16
404,【德專家：武漢肺炎是 SARS 的一種】泰國、日本接連確診武漢肺炎病患！WHO 研判 2 因素恐「人傳人」| BuzzOrange https://t.co/CxxZbglHKq,2020-01-16
405,@okonkwo_01 @agromella @Ade_layide @Chimnuru @OgbeniDipo @ChallengerNG @FitnessCentNG So policemen and SARS who hav… https://t.co/HEHtDowuuw,2020-01-16
